area,floor,px,py,start_time,end_time,visitor_count
exhibition hall,1,15,4,28200,28499,1
exhibition hall,1,15,4,28500,28799,1
exhibition hall,1,15,4,28800,29099,1
exhibition hall,1,15,4,29100,29399,5
exhibition hall,1,15,4,29400,29699,22
exhibition hall,1,15,4,29700,29999,24
exhibition hall,1,15,4,30000,30299,28
exhibition hall,1,15,4,30300,30599,37
exhibition hall,1,15,4,30600,30899,22
exhibition hall,1,15,4,30900,31199,6
exhibition hall,1,15,4,31200,31499,7
exhibition hall,1,15,4,31500,31799,9
exhibition hall,1,15,4,31800,32099,12
exhibition hall,1,15,4,32100,32399,21
exhibition hall,1,15,4,32400,32699,22
exhibition hall,1,15,4,32700,32999,5
exhibition hall,1,15,4,33000,33299,3
exhibition hall,1,15,4,33300,33599,3
exhibition hall,1,15,4,33600,33899,3
exhibition hall,1,15,4,33900,34199,3
exhibition hall,1,15,4,34200,34499,4
exhibition hall,1,15,4,34500,34799,3
exhibition hall,1,15,4,34800,35099,7
exhibition hall,1,15,4,35100,35399,11
exhibition hall,1,15,4,35400,35699,6
exhibition hall,1,15,4,35700,35999,4
exhibition hall,1,15,4,36000,36299,5
exhibition hall,1,15,4,36300,36599,12
exhibition hall,1,15,4,36600,36899,8
exhibition hall,1,15,4,36900,37199,9
exhibition hall,1,15,4,37200,37499,10
exhibition hall,1,15,4,37500,37799,12
exhibition hall,1,15,4,37800,38099,24
exhibition hall,1,15,4,38100,38399,19
exhibition hall,1,15,4,38400,38699,20
exhibition hall,1,15,4,38700,38999,36
exhibition hall,1,15,4,39000,39299,43
exhibition hall,1,15,4,39300,39599,14
exhibition hall,1,15,4,39600,39899,4
exhibition hall,1,15,4,39900,40199,4
exhibition hall,1,15,4,40200,40499,4
exhibition hall,1,15,4,40500,40799,4
exhibition hall,1,15,4,40800,41099,4
exhibition hall,1,15,4,41100,41399,3
exhibition hall,1,15,4,41400,41699,4
exhibition hall,1,15,4,41700,41999,5
exhibition hall,1,15,4,42000,42299,3
exhibition hall,1,15,4,42300,42599,2
exhibition hall,1,15,4,42600,42899,2
exhibition hall,1,15,4,42900,43199,1
exhibition hall,1,15,4,43200,43499,3
exhibition hall,1,15,4,44100,44399,4
exhibition hall,1,15,4,44400,44699,4
exhibition hall,1,15,4,44700,44999,2
exhibition hall,1,15,4,45000,45299,1
exhibition hall,1,15,4,45300,45599,2
exhibition hall,1,15,4,45600,45899,1
exhibition hall,1,15,4,45900,46199,1
exhibition hall,1,15,4,46200,46499,2
exhibition hall,1,15,4,46500,46799,2
exhibition hall,1,15,4,46800,47099,3
exhibition hall,1,15,4,47100,47399,4
exhibition hall,1,15,4,47400,47699,5
exhibition hall,1,15,4,47700,47999,7
exhibition hall,1,15,4,48000,48299,10
exhibition hall,1,15,4,48300,48599,14
exhibition hall,1,15,4,48600,48899,13
exhibition hall,1,15,4,48900,49199,19
exhibition hall,1,15,4,49200,49499,15
exhibition hall,1,15,4,49500,49799,27
exhibition hall,1,15,4,49800,50099,31
exhibition hall,1,15,4,50100,50399,39
exhibition hall,1,15,4,50400,50699,50
exhibition hall,1,15,4,50700,50999,21
exhibition hall,1,15,4,51000,51299,19
exhibition hall,1,15,4,51300,51599,21
exhibition hall,1,15,4,51600,51899,22
exhibition hall,1,15,4,51900,52199,17
exhibition hall,1,15,4,52200,52499,18
exhibition hall,1,15,4,52500,52799,16
exhibition hall,1,15,4,52800,53099,15
exhibition hall,1,15,4,53100,53399,12
exhibition hall,1,15,4,53400,53699,13
exhibition hall,1,15,4,53700,53999,13
exhibition hall,1,15,4,54000,54299,14
exhibition hall,1,15,4,54300,54599,10
exhibition hall,1,15,4,54600,54899,4
exhibition hall,1,15,4,54900,55199,4
exhibition hall,1,15,4,55200,55499,3
exhibition hall,1,15,4,55500,55799,3
exhibition hall,1,15,4,55800,56099,11
exhibition hall,1,15,4,56100,56399,5
exhibition hall,1,15,4,56400,56699,9
exhibition hall,1,15,4,56700,56999,7
exhibition hall,1,15,4,57000,57299,11
exhibition hall,1,15,4,57300,57599,17
exhibition hall,1,15,4,57600,57899,13
exhibition hall,1,15,4,57900,58199,8
exhibition hall,1,15,4,58200,58499,11
exhibition hall,1,15,4,58500,58799,24
exhibition hall,1,15,4,58800,59099,4
exhibition hall,1,15,4,59100,59399,4
exhibition hall,1,15,4,59400,59699,9
exhibition hall,1,15,4,59700,59999,7
exhibition hall,1,15,4,60000,60299,3
exhibition hall,1,15,4,60300,60599,2
exhibition hall,1,15,4,60600,60899,3
exhibition hall,1,15,4,60900,61199,4
exhibition hall,1,15,4,61200,61499,6
exhibition hall,1,15,4,61500,61799,7
exhibition hall,1,15,4,61800,62099,6
exhibition hall,1,15,4,62100,62399,5
exhibition hall,1,15,4,62400,62699,5
exhibition hall,1,15,4,62700,62999,3
exhibition hall,1,15,4,63000,63299,2
exhibition hall,1,15,4,63300,63599,1
exhibition hall,1,15,4,63600,63899,1
exhibition hall,1,15,5,28200,28499,2
exhibition hall,1,15,5,28800,29099,1
exhibition hall,1,15,5,29100,29399,22
exhibition hall,1,15,5,29400,29699,46
exhibition hall,1,15,5,29700,29999,58
exhibition hall,1,15,5,30000,30299,70
exhibition hall,1,15,5,30300,30599,78
exhibition hall,1,15,5,30600,30899,29
exhibition hall,1,15,5,30900,31199,4
exhibition hall,1,15,5,31200,31499,4
exhibition hall,1,15,5,31500,31799,9
exhibition hall,1,15,5,31800,32099,21
exhibition hall,1,15,5,32100,32399,20
exhibition hall,1,15,5,32400,32699,34
exhibition hall,1,15,5,32700,32999,5
exhibition hall,1,15,5,33000,33299,4
