start_time,end_time,source,target,movement_count
25200,25499,south stairway (1st floor),south stairway (2nd floor),3
25200,25499,south stairway (2nd floor),room 6,2
25500,25799,south stairway (1st floor),south stairway (2nd floor),5
25500,25799,south stairway (2nd floor),room 6,4
25800,26099,south stairway (1st floor),south stairway (2nd floor),5
25800,26099,south stairway (2nd floor),room 6,6
26100,26399,south stairway (1st floor),south stairway (2nd floor),6
26100,26399,south stairway (2nd floor),room 6,5
26400,26699,south stairway (1st floor),south stairway (2nd floor),5
26400,26699,south stairway (2nd floor),room 6,5
26700,26999,south stairway (1st floor),south stairway (2nd floor),5
26700,26999,south stairway (2nd floor),room 6,7
27000,27299,exhibition hall,main convention,2
27000,27299,room 6,south stairway (2nd floor),32
27000,27299,south stairway (1st floor),exhibition hall,2
27000,27299,south stairway (1st floor),north stairway (1st floor),1
27000,27299,south stairway (1st floor),south stairway (2nd floor),10
27000,27299,south stairway (2nd floor),room 6,9
27000,27299,south stairway (2nd floor),south stairway (1st floor),30
27300,27599,room 6,south stairway (2nd floor),6
27300,27599,south stairway (1st floor),south stairway (2nd floor),4
27300,27599,south stairway (2nd floor),room 6,5
27300,27599,south stairway (2nd floor),south stairway (1st floor),8
27600,27899,room 6,south stairway (2nd floor),1
27600,27899,south stairway (1st floor),south stairway (2nd floor),1
27600,27899,south stairway (2nd floor),south stairway (1st floor),1
27900,28199,south stairway (1st floor),south stairway (2nd floor),1
27900,28199,south stairway (2nd floor),room 6,2
28200,28499,room 6,south stairway (2nd floor),6
28200,28499,south stairway (1st floor),exhibition hall,6
28200,28499,south stairway (1st floor),south stairway (2nd floor),1
28200,28499,south stairway (2nd floor),south stairway (1st floor),6
28500,28799,south stairway (2nd floor),room 6,1
28800,29099,poster area,toilet 1,1
28800,29099,south stairway (1st floor),south stairway (2nd floor),1
29100,29399,poster area,exhibition hall,1
29100,29399,poster area,toilet 1,35
29100,29399,south stairway (1st floor),exhibition hall,2
29100,29399,south stairway (1st floor),south stairway (2nd floor),18
29100,29399,south stairway (1st floor),toilet 2,1
29100,29399,south stairway (2nd floor),room 6,2
29100,29399,south stairway (2nd floor),toilet 3,6
29100,29399,toilet 1,exhibition hall,3
29100,29399,toilet 1,poster area,6
29100,29399,toilet 1,south stairway (1st floor),1
29100,29399,toilet 2,exhibition hall,1
29400,29699,poster area,exhibition hall,9
29400,29699,poster area,south stairway (1st floor),1
29400,29699,poster area,toilet 1,39
29400,29699,south stairway (1st floor),exhibition hall,11
29400,29699,south stairway (1st floor),poster area,1
29400,29699,south stairway (1st floor),south stairway (2nd floor),26
29400,29699,south stairway (2nd floor),room 6,2
29400,29699,south stairway (2nd floor),south stairway (1st floor),6
29400,29699,south stairway (2nd floor),toilet 3,7
29400,29699,toilet 1,exhibition hall,27
29400,29699,toilet 1,poster area,18
29400,29699,toilet 1,south stairway (1st floor),7
29400,29699,toilet 2,exhibition hall,5
29400,29699,toilet 3,south stairway (2nd floor),6
29700,29999,poster area,exhibition hall,7
29700,29999,poster area,south stairway (1st floor),1
29700,29999,poster area,toilet 1,40
29700,29999,south stairway (1st floor),exhibition hall,8
