id,area_index,category,time,time_end,previous_category
10001,1,sub convention,50902,50927,None
10001,2,poster area,57305,57317,sub convention
10001,3,rest area,59308,59324,poster area
10001,4,sub convention,59781,59802,rest area
10003,1,main convention,33106,33113,None
10003,2,exhibition hall,38147,38159,main convention
10003,3,main convention,39284,39294,exhibition hall
10012,1,main convention,30680,30688,None
10012,2,poster area,38980,39008,main convention
10012,3,main convention,39570,39579,poster area
10014,1,exhibition hall,29871,29884,None
10014,2,main convention,30892,30900,exhibition hall
10014,3,rest area,37946,37952,main convention
10014,4,room,38203,38272,rest area
10014,5,main convention,39121,39127,room
10014,6,restaurant,43792,43805,main convention
10015,1,main convention,30895,30914,None
10015,2,exhibition hall,32361,32370,main convention
10015,3,main convention,32453,32464,exhibition hall
10015,4,restaurant,45150,45183,main convention
10015,5,rest area,46159,46177,restaurant
10015,6,sub convention,50777,50798,rest area
10015,7,poster area,56744,56752,sub convention
10015,8,rest area,58037,58062,poster area
10015,9,room,58906,59138,rest area
10015,10,poster area,59337,59348,room
10015,11,sub convention,59537,62348,poster area
10015,12,poster area,62357,62363,sub convention
10018,1,exhibition hall,38427,38442,None
10018,2,main convention,39263,39279,exhibition hall
10018,3,restaurant,44248,44259,main convention
10019,1,room,30269,30608,None
10019,2,main convention,30769,30783,room
10019,3,poster area,37984,38028,main convention
10019,4,room,38233,38303,poster area
10019,5,main convention,39682,39693,room
10019,6,restaurant,43815,43826,main convention
10019,7,main convention,45518,45523,restaurant
10019,8,room,45812,45823,main convention
10019,9,poster area,45893,45899,room
10019,10,room,47225,50398,poster area
10019,11,poster area,50429,50439,room
10019,12,sub convention,50533,50544,poster area
10019,13,poster area,53953,53961,sub convention
10019,14,room,54260,54267,poster area
10019,15,poster area,54930,54935,room
10019,16,sub convention,54990,58428,poster area
10019,17,poster area,58498,58507,sub convention
10019,18,room,58549,58573,poster area
10019,19,poster area,59797,59804,room
10019,20,sub convention,59860,59877,poster area
10019,21,poster area,63020,63025,sub convention
10021,1,exhibition hall,30622,30634,None
10021,2,main convention,30977,30986,exhibition hall
10021,3,rest area,38565,39028,main convention
10021,4,main convention,39342,39350,rest area
10022,1,poster area,30286,30294,None
