area,start_time,end_time,visitor_count
exhibition hall,28980,29039,1
exhibition hall,29040,29099,1
exhibition hall,29160,29219,1
exhibition hall,29220,29279,1
exhibition hall,30840,30899,1
exhibition hall,30900,30959,4
exhibition hall,30960,31019,11
exhibition hall,31020,31079,20
exhibition hall,31080,31139,30
exhibition hall,31140,31199,46
exhibition hall,31200,31259,60
exhibition hall,31260,31319,71
exhibition hall,31320,31379,83
exhibition hall,31380,31439,106
exhibition hall,31440,31499,131
exhibition hall,31500,31559,151
exhibition hall,31560,31619,172
exhibition hall,31620,31679,189
exhibition hall,31680,31739,208
exhibition hall,31740,31799,230
exhibition hall,31800,31859,257
exhibition hall,31860,31919,270
exhibition hall,31920,31979,294
exhibition hall,31980,32039,316
exhibition hall,32040,32099,341
exhibition hall,32100,32159,366
exhibition hall,32160,32219,388
exhibition hall,32220,32279,412
exhibition hall,32280,32339,437
exhibition hall,32340,32399,465
exhibition hall,32400,32459,496
exhibition hall,32460,32519,401
exhibition hall,32520,32579,275
exhibition hall,32580,32639,143
exhibition hall,32640,32699,95
exhibition hall,32700,32759,96
exhibition hall,32760,32819,98
exhibition hall,32820,32879,96
exhibition hall,32880,32939,99
exhibition hall,32940,32999,97
exhibition hall,33000,33059,101
exhibition hall,33060,33119,108
exhibition hall,33120,33179,114
exhibition hall,33180,33239,126
exhibition hall,33240,33299,133
exhibition hall,33300,33359,139
exhibition hall,33360,33419,144
exhibition hall,33420,33479,151
exhibition hall,33480,33539,161
exhibition hall,33540,33599,166
exhibition hall,33600,33659,177
exhibition hall,33660,33719,187
exhibition hall,33720,33779,197
exhibition hall,33780,33839,205
exhibition hall,33840,33899,215
exhibition hall,33900,33959,223
exhibition hall,33960,34019,233
exhibition hall,34020,34079,245
exhibition hall,34080,34139,259
exhibition hall,34140,34199,270
exhibition hall,34200,34259,273
exhibition hall,34260,34319,192
exhibition hall,34320,34379,142
exhibition hall,34380,34439,132
exhibition hall,34440,34499,122
exhibition hall,34500,34559,113
exhibition hall,34560,34619,115
exhibition hall,34620,34679,115
exhibition hall,34680,34739,116
exhibition hall,34740,34799,119
exhibition hall,34800,34859,120
exhibition hall,34860,34919,117
exhibition hall,34920,34979,118
exhibition hall,34980,35039,114
exhibition hall,35040,35099,116
exhibition hall,35100,35159,115
exhibition hall,35160,35219,101
exhibition hall,35220,35279,102
exhibition hall,35280,35339,109
exhibition hall,35340,35399,106
exhibition hall,35400,35459,96
exhibition hall,35460,35519,91
exhibition hall,35520,35579,87
exhibition hall,35580,35639,84
exhibition hall,35640,35699,85
exhibition hall,35700,35759,81
exhibition hall,35760,35819,79
exhibition hall,35820,35879,78
exhibition hall,35880,35939,77
exhibition hall,35940,35999,77
exhibition hall,36000,36059,76
exhibition hall,36060,36119,75
exhibition hall,36120,36179,73
exhibition hall,36180,36239,72
exhibition hall,36240,36299,69
exhibition hall,36300,36359,66
exhibition hall,36360,36419,61
exhibition hall,36420,36479,61
exhibition hall,36480,36539,60
exhibition hall,36540,36599,59
exhibition hall,36600,36659,57
exhibition hall,36660,36719,54
exhibition hall,36720,36779,54
exhibition hall,36780,36839,53
exhibition hall,36840,36899,53
exhibition hall,36900,36959,49
exhibition hall,36960,37019,50
exhibition hall,37020,37079,52
exhibition hall,37080,37139,52
exhibition hall,37140,37199,49
exhibition hall,37200,37259,49
exhibition hall,37260,37319,52
exhibition hall,37320,37379,53
exhibition hall,37380,37439,55
exhibition hall,37440,37499,62
exhibition hall,37500,37559,70
exhibition hall,37560,37619,84
exhibition hall,37620,37679,92
exhibition hall,37680,37739,108
exhibition hall,37740,37799,125
exhibition hall,37800,37859,127
exhibition hall,37860,37919,116
exhibition hall,37920,37979,114
exhibition hall,37980,38039,118
exhibition hall,38040,38099,121
exhibition hall,38100,38159,127
exhibition hall,38160,38219,130
exhibition hall,38220,38279,136
exhibition hall,38280,38339,138
exhibition hall,38340,38399,147
exhibition hall,38400,38459,151
exhibition hall,38460,38519,157
exhibition hall,38520,38579,160
exhibition hall,38580,38639,166
exhibition hall,38640,38699,181
exhibition hall,38700,38759,194
exhibition hall,38760,38819,200
exhibition hall,38820,38879,208
exhibition hall,38880,38939,211
exhibition hall,38940,38999,218
exhibition hall,39000,39059,218
exhibition hall,39060,39119,190
exhibition hall,39120,39179,95
exhibition hall,39180,39239,71
exhibition hall,39240,39299,65
exhibition hall,39300,39359,66
exhibition hall,39360,39419,66
exhibition hall,39420,39479,66
exhibition hall,39480,39539,67
exhibition hall,39540,39599,70
exhibition hall,39600,39659,68
exhibition hall,39660,39719,64
exhibition hall,39720,39779,61
exhibition hall,39780,39839,58
exhibition hall,39840,39899,56
exhibition hall,39900,39959,58
exhibition hall,39960,40019,57
exhibition hall,40020,40079,58
exhibition hall,40080,40139,57
exhibition hall,40140,40199,54
exhibition hall,40200,40259,54
exhibition hall,40260,40319,52
exhibition hall,40320,40379,51
exhibition hall,40380,40439,51
exhibition hall,40440,40499,49
exhibition hall,40500,40559,50
exhibition hall,40560,40619,48
exhibition hall,40620,40679,46
exhibition hall,40680,40739,50
exhibition hall,40740,40799,49
exhibition hall,40800,40859,51
exhibition hall,40860,40919,48
exhibition hall,40920,40979,46
exhibition hall,40980,41039,44
exhibition hall,41040,41099,42
exhibition hall,41100,41159,42
exhibition hall,41160,41219,41
exhibition hall,41220,41279,41
exhibition hall,41280,41339,46
exhibition hall,41340,41399,51
exhibition hall,41400,41459,56
exhibition hall,41460,41519,60
exhibition hall,41520,41579,81
exhibition hall,41580,41639,100
exhibition hall,41640,41699,124
exhibition hall,41700,41759,145
exhibition hall,41760,41819,148
exhibition hall,41820,41879,126
exhibition hall,41880,41939,103
exhibition hall,41940,41999,91
exhibition hall,42000,42059,86
exhibition hall,42060,42119,82
exhibition hall,42120,42179,81
exhibition hall,42180,42239,77
exhibition hall,42240,42299,75
exhibition hall,42300,42359,76
exhibition hall,42360,42419,76
exhibition hall,42420,42479,77
exhibition hall,42480,42539,78
exhibition hall,42540,42599,77
exhibition hall,42600,42659,76
exhibition hall,42660,42719,75
exhibition hall,42720,42779,70
exhibition hall,42780,42839,57
exhibition hall,42840,42899,52
exhibition hall,42900,42959,48
exhibition hall,42960,43019,43
exhibition hall,43020,43079,44
exhibition hall,43080,43139,46
exhibition hall,43140,43199,42
exhibition hall,43200,43259,35
exhibition hall,43260,43319,13
exhibition hall a,33780,33839,2
exhibition hall a,33840,33899,2
exhibition hall a,33900,33959,2
exhibition hall a,33960,34019,2
exhibition hall a,34020,34079,2
exhibition hall a,34080,34139,2
exhibition hall a,34140,34199,2
exhibition hall a,34200,34259,13
