id,area_index,area,time,time_end,time_stayed
10000,0,entrance 0-2,32070,32078,8
10000,1,common,32079,32116,34
10000,2,reception,32117,32348,231
10000,3,common,32349,32453,96
10000,4,toilet 1,32454,32657,202
10000,5,common,32658,33005,327
10000,6,main convention,33006,37922,4897
10000,7,common,37923,38128,190
10000,8,poster area,38129,38137,8
10000,9,common,38138,38218,74
10000,10,sub convention a,38219,40934,2712
10000,11,common,40935,40984,48
10000,12,poster area,40985,41022,35
10000,13,common,41023,41039,16
10000,14,poster area,41040,41051,11
10000,15,common,41052,41105,50
10000,16,south stairway (1st floor),41106,41124,17
10000,17,south stairway (2nd floor),41125,41150,24
10000,18,common,41151,41226,67
10000,19,toilet 3,41227,41288,61
10000,20,common,41289,41357,60
10000,21,south stairway (2nd floor),41358,41374,15
10000,22,south stairway (1st floor),41375,41398,22
10000,23,common,41399,41454,50
10000,24,exit 17-0,41455,41515,60
10002,0,entrance 4-0,32320,32328,8
10002,1,common,32329,32340,11
10002,2,reception,32341,32738,397
10002,3,common,32739,33004,250
10002,4,main convention,33005,35068,2061
10002,5,common,35069,35237,154
10002,6,poster area,35238,35263,23
10002,7,common,35264,35297,31
10002,8,sub convention b,35298,39028,3730
10002,9,common,39029,39070,38
10002,10,poster area,39071,39556,484
10002,11,common,39557,39584,25
10002,12,toilet 1,39585,39646,60
10002,13,common,39647,39811,144
10002,14,main convention,39812,41319,1493
10002,15,common,41320,41343,21
10002,16,toilet 2,41344,41523,178
10002,17,common,41524,41745,198
10002,18,exit 5-0,41746,41806,60
10003,0,entrance 2-0,31450,31460,10
10003,1,common,31461,31480,18
10003,2,reception,31481,31868,387
10003,3,common,31869,31876,7
10003,4,reception,31877,31910,33
10003,5,common,31911,32002,83
10003,6,toilet 1,32003,32149,145
10003,7,common,32150,32578,404
10003,8,main convention,32579,37875,5292
10003,9,common,37876,37915,36
10003,10,toilet 2,37916,38188,272
10003,11,common,38189,38538,325
10003,12,poster area,38539,38562,21
10003,13,common,38563,38593,29
10003,14,sub convention a,38594,40454,1858
10003,15,common,40455,40463,8
10003,16,poster area,40464,40489,23
10003,17,common,40490,40662,151
10003,18,main convention,40663,41650,971
10003,19,common,41651,41718,61
10003,20,exit 15-0,41719,41779,60
10004,0,entrance 0-2,31550,31557,7
10004,1,common,31558,31582,22
10004,2,reception,31583,31758,175
10004,3,common,31759,31814,50
10004,4,poster area,31815,31829,13
10004,5,common,31830,31868,35
10004,6,toilet 1,31869,31978,108
10004,7,common,31979,32134,140
10004,8,exhibition hall,32135,32426,290
10004,9,common,32427,32482,51
10004,10,main convention,32483,35206,2718
10004,11,common,35207,35378,156
10004,12,poster area,35379,35385,6
10004,13,common,35386,35427,38
10004,14,sub convention b,35428,39521,4090
10004,15,common,39522,39530,8
10004,16,poster area,39531,39548,16
10004,17,common,39549,39557,8
10004,18,toilet 1,39558,39646,87
10004,19,common,39647,39656,9
10004,20,poster area,39657,39676,18
10004,21,common,39677,40307,629
10004,22,poster area,40308,40316,8
10004,23,common,40317,40879,550
10004,24,exit 17-0,40880,40940,60
10012,0,entrance 2-0,31800,31808,8
10012,1,common,31809,31817,8
10012,2,reception,31818,31988,170
10012,3,common,31989,32106,105
10012,4,exhibition hall,32107,37853,5736
