id,label,category
1,exhibition hall,exhibition
2,exhibition hall a,exhibition
3,exhibition hall b,exhibition
4,exhibition hall c,exhibition
5,exhibition hall d,exhibition
6,main convention,main convention
7,north stairway (1st floor),stairway
8,north stairway (2nd floor),stairway
9,poster area,poster area
10,reception,reception
11,rest area,rest area
12,restaurant,restaurant
13,room 1,room
14,room 2,room
15,room 3,room
16,room 4,room
17,room 5,room
18,room 6,room
19,service counter,service counter
20,south stairway (1st floor),stairway
21,south stairway (2nd floor),stairway
